ACC=0.345643, f1_macro=0.287027, precision_macro=0.342333, recall_macro=0.289310, f1_micro=0.345643, precision_micro=0.345643, recall_micro=0.345643, NMI=0.201708, ADJ_RAND_SCORE=0.114625
ACC=0.319424, f1_macro=0.259410, precision_macro=0.316681, recall_macro=0.258527, f1_micro=0.319424, precision_micro=0.319424, recall_micro=0.319424, NMI=0.204291, ADJ_RAND_SCORE=0.093073
ACC=0.365953, f1_macro=0.300046, precision_macro=0.336983, recall_macro=0.313036, f1_micro=0.365953, precision_micro=0.365953, recall_micro=0.365953, NMI=0.222631, ADJ_RAND_SCORE=0.120403
ACC=0.351920, f1_macro=0.278324, precision_macro=0.314719, recall_macro=0.293224, f1_micro=0.351920, precision_micro=0.351920, recall_micro=0.351920, NMI=0.228840, ADJ_RAND_SCORE=0.113384
ACC=0.353397, f1_macro=0.288559, precision_macro=0.316148, recall_macro=0.310599, f1_micro=0.353397, precision_micro=0.353397, recall_micro=0.353397, NMI=0.245903, ADJ_RAND_SCORE=0.124149
ACC=0.364476, f1_macro=0.311706, precision_macro=0.347855, recall_macro=0.315856, f1_micro=0.364476, precision_micro=0.364476, recall_micro=0.364476, NMI=0.235764, ADJ_RAND_SCORE=0.122374
ACC=0.360414, f1_macro=0.308956, precision_macro=0.360340, recall_macro=0.308489, f1_micro=0.360414, precision_micro=0.360414, recall_micro=0.360414, NMI=0.211155, ADJ_RAND_SCORE=0.098744
ACC=0.384047, f1_macro=0.332906, precision_macro=0.371589, recall_macro=0.336635, f1_micro=0.384047, precision_micro=0.384047, recall_micro=0.384047, NMI=0.236191, ADJ_RAND_SCORE=0.117016
ACC=0.414328, f1_macro=0.338725, precision_macro=0.372184, recall_macro=0.346765, f1_micro=0.414328, precision_micro=0.414328, recall_micro=0.414328, NMI=0.266770, ADJ_RAND_SCORE=0.142853
ACC=0.393648, f1_macro=0.312245, precision_macro=0.342175, recall_macro=0.331458, f1_micro=0.393648, precision_micro=0.393648, recall_micro=0.393648, NMI=0.249638, ADJ_RAND_SCORE=0.124395
ACC=0.398080, f1_macro=0.270169, precision_macro=0.279544, recall_macro=0.296936, f1_micro=0.398080, precision_micro=0.398080, recall_micro=0.398080, NMI=0.277118, ADJ_RAND_SCORE=0.150530
ACC=0.317208, f1_macro=0.234274, precision_macro=0.290237, recall_macro=0.269900, f1_micro=0.317208, precision_micro=0.317208, recall_micro=0.317208, NMI=0.244429, ADJ_RAND_SCORE=0.096295
